album,file,genre,native_sr,hf_edge
Skrillex-SOMA-24BIT-WEBFLAC-2026-GARLICKNOTS,01-skrillex_x_nitepunk-soma-c4fa2e.flac,EDM,48000,17039
Skrillex-SOMA-24BIT-WEBFLAC-2026-GARLICKNOTS,02-skrillex_x_randomer_x_blawan_x_mc_dricka-thistle-8b4da6.flac,EDM,44100,17894
Skrillex-SOMA-24BIT-WEBFLAC-2026-GARLICKNOTS,03-skrillex_x_tracey_x_taichu_x_anita_b_queen-tranki-2094f1.flac,EDM,48000,21070
Skrillex-SOMA-24BIT-WEBFLAC-2026-GARLICKNOTS,04-skrillex_x_isoxo_x_cristale_x_teezandos-smoke-7ba05c.flac,EDM,48000,20718
Skrillex-SOMA-24BIT-WEBFLAC-2026-GARLICKNOTS,05-skrillex_x_feid-noche_without_you-b0650e.flac,EDM,48000,19476
Skrillex-SOMA-24BIT-WEBFLAC-2026-GARLICKNOTS,06-skrillex_x_rom-scut_2-44ed4d.flac,EDM,48000,20484
Skrillex-SOMA-24BIT-WEBFLAC-2026-GARLICKNOTS,08-skrillex_x_dismantle_x_mc_dricka-pente_rala-a3242d.flac,EDM,48000,17156
Skrillex-SOMA-24BIT-WEBFLAC-2026-GARLICKNOTS,09-skrillex_x_chris_lake_x_rhr-e_o_bonde-ed039e.flac,EDM,48000,20121
Skrillex-SOMA-24BIT-WEBFLAC-2026-GARLICKNOTS,10-skrillex_x_chris_lake_x_anita_b_queen-la_noche_2-b8ca0e.flac,EDM,48000,19593
Skrillex-SOMA-24BIT-WEBFLAC-2026-GARLICKNOTS,11-skrillex_x_isoxo-anybody-389ed9.flac,EDM,48000,20378
Skrillex-SOMA-24BIT-WEBFLAC-2026-GARLICKNOTS,12-skrillex_x_young_miko-duro-53caba.flac,EDM,48000,17789
Skrillex-SOMA-24BIT-WEBFLAC-2026-GARLICKNOTS,13-skrillex_x_naisha_x_beam-diwali-7dfb96.flac,EDM,48000,22078
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 1,01 Give Life Back to Music.flac,Electronic,88200,39534
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 1,02 The Game of Love.flac,Electronic,88200,39728
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 1,03 Giorgio by Moroder.flac,Electronic,88200,38781
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 1,04 Within.flac,Electronic,88200,38996
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 1,05 Instant Crush (feat. Julian Casablancas).flac,Electronic,88200,38781
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 1,06 Lose Yourself to Dance (feat. Pharrell Williams).flac,Electronic,88200,38910
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 1,07 Touch (feat. Paul Williams).flac,Electronic,88200,38953
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 1,08 Get Lucky (feat. Pharrell Williams and Nile Rodgers).flac,Electronic,88200,38910
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 1,09 Beyond.flac,Electronic,88200,39642
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 1,10 Motherboard.flac,Electronic,88200,40719
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 1,11 Fragments of Time (feat. Todd Edwards).flac,Electronic,88200,39018
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 1,12 Doin' it Right (feat. Panda Bear).flac,Electronic,88200,38888
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 1,13 Contact.flac,Electronic,88200,38996
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 2,01 Horizon Ouverture.flac,Electronic,88200,35228
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 2,02 Horizon (Japan CD).flac,Electronic,88200,38975
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 2,03 GLBTM (Studio Outtakes).flac,Electronic,88200,37984
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 2,04 Infinity Repeating (2013 Demo) [feat. Julian Casablancas+The Voidz].flac,Electronic,44100,18561
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 2,05 GL (Early Take) [feat. Pharrell Williams and Nile Rodgers].flac,Electronic,88200,29048
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 2,06 Prime (2012 Unfinished).flac,Electronic,88200,35400
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 2,07 LYTD (Vocoder Tests) [feat. Pharrell Williams].flac,Electronic,88200,35357
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 2,08 The Writing of Fragments of Time (feat. Todd Edwards).flac,Electronic,88200,38888
Daft Punk - 2013 - Random Access Memories (10th Anniversary Edition) (24bit-88.2kHz)/Disc 2,09 Touch (2021 Epilogue) [feat. Paul Williams].flac,Electronic,88200,44100
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,01 - Daftendirekt.flac,Electronic,44100,20155
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,02 - Wdpk 83.7 fm.flac,Electronic,44100,22050
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,03 - Revolution 909.flac,Electronic,44100,20348
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,04 - Da Funk.flac,Electronic,44100,18938
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,05 - Phoenix.flac,Electronic,44100,20413
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,06 - Fresh.flac,Electronic,44100,19099
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,07 - Around The World.flac,Electronic,44100,19530
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,08 - Rollin' & Scratchin'.flac,Electronic,44100,21059
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,09 - Teachers.flac,Electronic,44100,20973
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,10 - High Fidelity.flac,Electronic,44100,17463
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,11 - Rock'n Roll.flac,Electronic,44100,21414
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,12 - Oh Yeah.flac,Electronic,44100,14276
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,13 - Burnin'.flac,Electronic,44100,18400
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,14 - Indo Silver Club.flac,Electronic,44100,18518
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,15 - Alive.flac,Electronic,44100,17614
Daft Punk - Discography 1996-2007-IPT/01 - Albums/1997 - Homework,16 - Funk Ad.flac,Electronic,44100,18841
Daft Punk - Discography 1996-2007-IPT/01 - Albums/2001 - Discovery,01 - One More Time.flac,Electronic,44100,18755
Daft Punk - Discography 1996-2007-IPT/01 - Albums/2001 - Discovery,02 - Aerodynamic.flac,Electronic,44100,18916
Daft Punk - Discography 1996-2007-IPT/01 - Albums/2001 - Discovery,03 - Digital Love.flac,Electronic,44100,19046
Daft Punk - Discography 1996-2007-IPT/01 - Albums/2001 - Discovery,"04 - Harder, Better, Faster, Stronger.flac",Electronic,44100,18378
Daft Punk - Discography 1996-2007-IPT/01 - Albums/2001 - Discovery,05 - Crescendolls.flac,Electronic,44100,18141
Daft Punk - Discography 1996-2007-IPT/01 - Albums/2001 - Discovery,06 - Nightvision.flac,Electronic,44100,14825
Daft Punk - Discography 1996-2007-IPT/01 - Albums/2001 - Discovery,07 - Superheroes.flac,Electronic,44100,18152
Daft Punk - Discography 1996-2007-IPT/01 - Albums/2001 - Discovery,08 - High Life.flac,Electronic,44100,13469
Daft Punk - Discography 1996-2007-IPT/01 - Albums/2001 - Discovery,09 - Something About Us.flac,Electronic,44100,19336
Daft Punk - Discography 1996-2007-IPT/01 - Albums/2001 - Discovery,10 - Voyager.flac,Electronic,44100,19186
Daft Punk - Discography 1996-2007-IPT/01 - Albums/2001 - Discovery,12 - Short Circuit.flac,Electronic,44100,19078
Daft Punk - Discography 1996-2007-IPT/01 - Albums/2001 - Discovery,13 - Face to Face.flac,Electronic,44100,14158
Daft Punk - Discography 1996-2007-IPT/01 - Albums/2001 - Discovery,14 - Too Long.flac,Electronic,44100,22050
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,101-jean-michel_jarre-oxygene_(part_1).flac,Electronic,44100,11918
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,102-jean-michel_jarre-oxygene_(part_2).flac,Electronic,44100,19713
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,103-jean-michel_jarre-oxygene_(part_3).flac,Electronic,44100,17678
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,104-jean-michel_jarre-oxygene_(part_4).flac,Electronic,44100,18357
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,105-jean-michel_jarre-oxygene_(part_5).flac,Electronic,44100,12015
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,106-jean-michel_jarre-oxygene_(part_6).flac,Electronic,44100,18324
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,201-jean-michel_jarre-oxygene_(part_7).flac,Electronic,44100,19681
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,202-jean-michel_jarre-oxygene_(part_8).flac,Electronic,44100,18744
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,204-jean-michel_jarre-oxygene_(part_10).flac,Electronic,44100,19982
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,205-jean-michel_jarre-oxygene_(part_11).flac,Electronic,44100,19132
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,206-jean-michel_jarre-oxygene_(part_12).flac,Electronic,44100,19896
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,207-jean-michel_jarre-oxygene_(part_13).flac,Electronic,44100,19272
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,302-jean-michel_jarre-oxygene_(part_15).flac,Electronic,44100,18626
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,303-jean-michel_jarre-oxygene_(part_16).flac,Electronic,44100,17926
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,304-jean-michel_jarre-oxygene_(part_17).flac,Electronic,44100,19552
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,306-jean-michel_jarre-oxygene_(part_19).flac,Electronic,44100,18518
Jean-Michel_Jarre-Oxygene_Trilogy-(88985361862)-REMASTERED-3CD-FLAC-2016-WRE,307-jean-michel_jarre-oxygene_(part_20).flac,Electronic,44100,17441
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,101-jon_hopkins-we_disappear.flac,Electronic,44100,17732
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,102-jon_hopkins-open_eye_signal.flac,Electronic,44100,18217
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,103-jon_hopkins-breathe_this_air.flac,Electronic,44100,18863
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,104-jon_hopkins-collider.flac,Electronic,44100,18863
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,105-jon_hopkins-abandon_window.flac,Electronic,44100,16246
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,106-jon_hopkins-form_by_firelight.flac,Electronic,44100,15751
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,107-jon_hopkins-sun_harmonics.flac,Electronic,44100,19196
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,108-jon_hopkins-immunity.flac,Electronic,44100,15697
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,201-jon_hopkins-immunity_(asleep_version).flac,Electronic,44100,16645
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,203-jon_hopkins-breathe_this_air_(asleep_version).flac,Electronic,44100,17248
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,205-jon_hopkins-abandon_window_(moderat_remix).flac,Electronic,44100,19455
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,206-jon_hopkins-breathe_this_air_(feat_purity_ring).flac,Electronic,44100,15956
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,207-jon_hopkins-we_disappear_(feat_lulu_james).flac,Electronic,44100,17301
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,208-jon_hopkins-open_eye_signal_(george_fitzgerald_remix).flac,Electronic,44100,19487
Jon_Hopkins-Immunity-Remastered-2CD-FLAC-2023-PERFECT,209-jon_hopkins-collider_(pangaea_remix).flac,Electronic,44100,20467
Nine_Inch_Nails-TRON_Ares-OST-24BIT-48KHZ-WEB-FLAC-2025-OBZEN,01-nine_inch_nails-init.flac,Electronic/Score,48000,19933
Nine_Inch_Nails-TRON_Ares-OST-24BIT-48KHZ-WEB-FLAC-2025-OBZEN,02-nine_inch_nails-forked_reality.flac,Electronic/Score,48000,21140
Nine_Inch_Nails-TRON_Ares-OST-24BIT-48KHZ-WEB-FLAC-2025-OBZEN,03-nine_inch_nails-as_alive_as_you_need_me_to_be.flac,Electronic/Score,48000,21093
Nine_Inch_Nails-TRON_Ares-OST-24BIT-48KHZ-WEB-FLAC-2025-OBZEN,05-nine_inch_nails-this_changes_everything.flac,Electronic/Score,48000,21246
Nine_Inch_Nails-TRON_Ares-OST-24BIT-48KHZ-WEB-FLAC-2025-OBZEN,07-nine_inch_nails-i_know_you_can_feel_it.flac,Electronic/Score,48000,20917
Nine_Inch_Nails-TRON_Ares-OST-24BIT-48KHZ-WEB-FLAC-2025-OBZEN,09-nine_inch_nails-infiltrator.flac,Electronic/Score,48000,16628
Nine_Inch_Nails-TRON_Ares-OST-24BIT-48KHZ-WEB-FLAC-2025-OBZEN,13-nine_inch_nails-building_better_worlds.flac,Electronic/Score,48000,21445
Nine_Inch_Nails-TRON_Ares-OST-24BIT-48KHZ-WEB-FLAC-2025-OBZEN,14-nine_inch_nails-target_identified.flac,Electronic/Score,48000,21375
Nine_Inch_Nails-TRON_Ares-OST-24BIT-48KHZ-WEB-FLAC-2025-OBZEN,15-nine_inch_nails-daemonize.flac,Electronic/Score,48000,20988
Nine_Inch_Nails-TRON_Ares-OST-24BIT-48KHZ-WEB-FLAC-2025-OBZEN,16-nine_inch_nails-empathetic_response.flac,Electronic/Score,48000,20390
Nine_Inch_Nails-TRON_Ares-OST-24BIT-48KHZ-WEB-FLAC-2025-OBZEN,17-nine_inch_nails-what_have_you_done.flac,Electronic/Score,48000,20531
Nine_Inch_Nails-TRON_Ares-OST-24BIT-48KHZ-WEB-FLAC-2025-OBZEN,18-nine_inch_nails-a_question_of_trust.flac,Electronic/Score,48000,18468
Nine_Inch_Nails-TRON_Ares-OST-24BIT-48KHZ-WEB-FLAC-2025-OBZEN,24-nine_inch_nails-shadow_over_me.flac,Electronic/Score,48000,20753
Sufjan Stevens - Carrie & Lowell (2015) [FLAC],01 Death With Dignity.flac,Folk,44100,16731
Sufjan Stevens - Carrie & Lowell (2015) [FLAC],02 Should Have Known Better.flac,Folk,44100,14438
Sufjan Stevens - Carrie & Lowell (2015) [FLAC],03 All Of Me Wants All Of You.flac,Folk,44100,21059
Sufjan Stevens - Carrie & Lowell (2015) [FLAC],04 Drawn To The Blood.flac,Folk,44100,15848
Sufjan Stevens - Carrie & Lowell (2015) [FLAC],05 Eugene.flac,Folk,44100,15923
Sufjan Stevens - Carrie & Lowell (2015) [FLAC],06 Fourth Of July.flac,Folk,44100,21027
Sufjan Stevens - Carrie & Lowell (2015) [FLAC],07 The Only Thing.flac,Folk,44100,18066
Sufjan Stevens - Carrie & Lowell (2015) [FLAC],08 Carrie & Lowell.flac,Folk,44100,15073
Sufjan Stevens - Carrie & Lowell (2015) [FLAC],09 John My Beloved.flac,Folk,44100,17495
Sufjan Stevens - Carrie & Lowell (2015) [FLAC],10 No Shade In The Shadow Of The Cross.flac,Folk,44100,17872
Sufjan Stevens - Carrie & Lowell (2015) [FLAC],11 Blue Bucket Of Gold.flac,Folk,44100,17775
"Robert Plant & Alison Krauss - Raise The Roof (2021, EU, DST128)",A1. Quattro (World Drifts In).flac,Folk/Americana,44100,18497
"Robert Plant & Alison Krauss - Raise The Roof (2021, EU, DST128)",A2. The Price Of Love.flac,Folk/Americana,44100,18249
"Robert Plant & Alison Krauss - Raise The Roof (2021, EU, DST128)",A3. Go Your Way.flac,Folk/Americana,44100,18540
"Robert Plant & Alison Krauss - Raise The Roof (2021, EU, DST128)",B1. Trouble With My Lover.flac,Folk/Americana,44100,14341
"Robert Plant & Alison Krauss - Raise The Roof (2021, EU, DST128)",B2. Searching For My Love.flac,Folk/Americana,44100,19035
"Robert Plant & Alison Krauss - Raise The Roof (2021, EU, DST128)",B3. Can't Let Go.flac,Folk/Americana,44100,16731
"Robert Plant & Alison Krauss - Raise The Roof (2021, EU, DST128)",C1. It Don't Bother Me.flac,Folk/Americana,44100,18475
"Robert Plant & Alison Krauss - Raise The Roof (2021, EU, DST128)",C2. You Led Me To The Wrong.flac,Folk/Americana,44100,18497
"Robert Plant & Alison Krauss - Raise The Roof (2021, EU, DST128)",C3. Last Kind Words Blues.flac,Folk/Americana,44100,18529
"Robert Plant & Alison Krauss - Raise The Roof (2021, EU, DST128)",D1. High And Lonesome.flac,Folk/Americana,44100,18497
"Robert Plant & Alison Krauss - Raise The Roof (2021, EU, DST128)",D2. Going Where The Lonely Go.flac,Folk/Americana,44100,16806
"Robert Plant & Alison Krauss - Raise The Roof (2021, EU, DST128)",D3. Somebody Was Watching Over Me.flac,Folk/Americana,44100,18184
Robert_Plant_And_Alison_Krauss-Raising_Sand-CD-FLAC-2007-FLACME,01-robert_plant_and_alison_krauss-rich_woman.flac,Folk/Americana,44100,17732
Robert_Plant_And_Alison_Krauss-Raising_Sand-CD-FLAC-2007-FLACME,03-robert_plant_and_alison_krauss-sister_rosetta_goes_before_us.flac,Folk/Americana,44100,16483
Robert_Plant_And_Alison_Krauss-Raising_Sand-CD-FLAC-2007-FLACME,04-robert_plant_and_alison_krauss-polly_come_home.flac,Folk/Americana,44100,15245
Robert_Plant_And_Alison_Krauss-Raising_Sand-CD-FLAC-2007-FLACME,06-robert_plant_and_alison_krauss-through_the_morning_through_the_night.flac,Folk/Americana,44100,16569
Robert_Plant_And_Alison_Krauss-Raising_Sand-CD-FLAC-2007-FLACME,07-robert_plant_and_alison_krauss-please_read_the_letter.flac,Folk/Americana,44100,16903
Robert_Plant_And_Alison_Krauss-Raising_Sand-CD-FLAC-2007-FLACME,08-robert_plant_and_alison_krauss-trampled_rose.flac,Folk/Americana,44100,16472
Robert_Plant_And_Alison_Krauss-Raising_Sand-CD-FLAC-2007-FLACME,09-robert_plant_and_alison_krauss-fortune_teller.flac,Folk/Americana,44100,18023
Robert_Plant_And_Alison_Krauss-Raising_Sand-CD-FLAC-2007-FLACME,10-robert_plant_and_alison_krauss-stick_with_me_baby.flac,Folk/Americana,44100,16623
Robert_Plant_And_Alison_Krauss-Raising_Sand-CD-FLAC-2007-FLACME,11-robert_plant_and_alison_krauss-nothin.flac,Folk/Americana,44100,19282
Robert_Plant_And_Alison_Krauss-Raising_Sand-CD-FLAC-2007-FLACME,12-robert_plant_and_alison_krauss-let_your_loss_be_your_lesson.flac,Folk/Americana,44100,16989
Robert_Plant_And_Alison_Krauss-Raising_Sand-CD-FLAC-2007-FLACME,13-robert_plant_and_alison_krauss-your_long_journey.flac,Folk/Americana,44100,17194
Drake-Habibti-PROPER-24BIT-WEB-FLAC-2026-TVRf,01-drake-rusty_intro-proper.flac,Hip-hop,48000,20191
Drake-Habibti-PROPER-24BIT-WEB-FLAC-2026-TVRf,02-drake-wnba-proper.flac,Hip-hop,48000,20449
Drake-Habibti-PROPER-24BIT-WEB-FLAC-2026-TVRf,03-drake-slap_the_city_(with_qendresa)-proper.flac,Hip-hop,48000,16464
Drake-Habibti-PROPER-24BIT-WEB-FLAC-2026-TVRf,04-drake-high_fives-proper.flac,Hip-hop,48000,20238
Drake-Habibti-PROPER-24BIT-WEB-FLAC-2026-TVRf,05-drake-hurrr_nor_thurrr_(with_sexyy_red)-proper.flac,Hip-hop,48000,19453
Drake-Habibti-PROPER-24BIT-WEB-FLAC-2026-TVRf,06-drake-im_spent_(with_loe_shimmy)-proper.flac,Hip-hop,48000,20050
Drake-Habibti-PROPER-24BIT-WEB-FLAC-2026-TVRf,07-drake-classic-proper.flac,Hip-hop,48000,18328
Drake-Habibti-PROPER-24BIT-WEB-FLAC-2026-TVRf,08-drake-gen_5-proper.flac,Hip-hop,48000,20085
Drake-Habibti-PROPER-24BIT-WEB-FLAC-2026-TVRf,09-drake-white_bone-proper.flac,Hip-hop,48000,20484
Drake-Habibti-PROPER-24BIT-WEB-FLAC-2026-TVRf,10-drake-fortworth_(with_partynextdoor)-proper.flac,Hip-hop,48000,20507
Eminem-The_Death_Of_Slim_Shady_(Coup_De_Grace)-PROPER-24BIT-WEB-FLAC-2024-TVRf,01-eminem-renaissance-proper.flac,Hip-hop,96000,38460
